127.0.0.1 - - [21/Mar/2016:16:14:05 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:35 +0800] "GET /shop HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:36 +0800] "GET /shop/ HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:36 +0800] "GET /shop/static/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:36 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:36 +0800] "GET /shop/static/css/jquery-ui-themes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:36 +0800] "GET /shop/static/js/easyui/jquery-1.7.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:36 +0800] "GET /shop/static/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:36 +0800] "GET /shop/static/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:36 +0800] "GET /shop/static/js/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:36 +0800] "GET /shop/static/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:37 +0800] "GET /shop/homemainCtrl/login.do HTTP/1.1" 200 3527
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:37 +0800] "GET /shop/static/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:37 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:37 +0800] "GET /shop/static/css/jquery-ui-themes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:37 +0800] "GET /shop/static/js/easyui/jquery-1.7.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:37 +0800] "GET /shop/static/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:37 +0800] "GET /shop/static/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:37 +0800] "GET /shop/static/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:37 +0800] "GET /shop/static/js/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:37 +0800] "GET /shop/static/css/login/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:37 +0800] "GET /shop/static/js/login/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:37 +0800] "GET /shop/homePageCtrl/toHeader.do HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:37 +0800] "GET /shop/homePageCtrl/toFooter.do HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:38 +0800] "GET /shop/static/images/login/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:38 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:38 +0800] "GET /shop/static/images/login/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:38 +0800] "GET /shop/homemainCtrl/login.do%23 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:38 +0800] "GET /shop/homemainCtrl/login.do%23 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:39 +0800] "GET /shop/homePageCtrl/toRegister.do HTTP/1.1" 200 4808
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:39 +0800] "GET /shop/static/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:39 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:39 +0800] "GET /shop/static/css/jquery-ui-themes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:39 +0800] "GET /shop/static/js/easyui/jquery-1.7.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:39 +0800] "GET /shop/static/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:39 +0800] "GET /shop/static/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:39 +0800] "GET /shop/static/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:39 +0800] "GET /shop/static/js/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:39 +0800] "GET /shop/static/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:39 +0800] "GET /shop/static/js/homePage/register.js HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:39 +0800] "GET /shop/homePageCtrl/toHeader.do HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:39 +0800] "GET /shop/homePageCtrl/toFooter.do HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:39 +0800] "GET /shop/static/images/y35.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:39 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:39 +0800] "GET /shop/static/images/login/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:39 +0800] "GET /shop/homePageCtrl/toRegister.do%23 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:14:39 +0800] "GET /shop/homePageCtrl/toRegister.do%23 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:15:52 +0800] "GET /shop/homePageCtrl/toRegister.do HTTP/1.1" 200 4880
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:15:52 +0800] "GET /shop/static/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:15:52 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:15:52 +0800] "GET /shop/static/css/jquery-ui-themes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:15:52 +0800] "GET /shop/static/js/easyui/jquery-1.7.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:15:52 +0800] "GET /shop/static/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:15:52 +0800] "GET /shop/static/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:15:52 +0800] "GET /shop/static/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:15:52 +0800] "GET /shop/static/js/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:15:52 +0800] "GET /shop/static/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:15:52 +0800] "GET /shop/homePageCtrl/toHeader.do HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [21/Mar/2016:16:15:52 +0800] "GET /shop/static/js/homePage/register.js HTTP/1.1" 304 -
