127.0.0.1 - - [10/Mar/2016:20:06:18 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:34 +0800] "GET /shop/ HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:34 +0800] "GET /shop/static/css/base.css HTTP/1.1" 200 132296
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:34 +0800] "GET /shop/static/css/styles.css HTTP/1.1" 200 5418
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:34 +0800] "GET /shop/static/css/jquery-ui-themes.css HTTP/1.1" 200 28572
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:34 +0800] "GET /shop/static/js/easyui/jquery-1.7.2.min.js HTTP/1.1" 200 94840
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:34 +0800] "GET /shop/static/js/easyui/jquery.easyui.min.js HTTP/1.1" 200 281504
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:34 +0800] "GET /shop/static/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2624
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:34 +0800] "GET /shop/static/js/easyui/themes/icon.css HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:35 +0800] "GET /shop/static/js/easyui/themes/default/easyui.css HTTP/1.1" 200 32677
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:36 +0800] "GET /shop/userCtrl/login.do HTTP/1.1" 200 2847
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:36 +0800] "GET /shop/static/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:36 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:36 +0800] "GET /shop/static/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:36 +0800] "GET /shop/static/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:36 +0800] "GET /shop/static/js/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:36 +0800] "GET /shop/static/css/jquery-ui-themes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:36 +0800] "GET /shop/static/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:36 +0800] "GET /shop/static/js/easyui/jquery-1.7.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:36 +0800] "GET /shop/static/images/login/beijing.jpg HTTP/1.1" 200 78179
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:36 +0800] "GET /shop/static/css/login/main.css HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:36 +0800] "GET /shop/static/js/login/login.js HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:36 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Mar/2016:20:06:36 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
