0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:55 +0800] "GET /shopConsole/static/js/ace-elements.min.js HTTP/1.1" 200 6940
127.0.0.1 - - [02/May/2016:10:09:55 +0800] "GET /shopConsole/plugins/attention/zDialog/zDialog.js HTTP/1.1" 200 14654
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:55 +0800] "GET /shopConsole/static/js/myjs/head.js HTTP/1.1" 200 6073
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:55 +0800] "GET /shopConsole/static/js/ace.min.js HTTP/1.1" 200 5155
127.0.0.1 - - [02/May/2016:10:09:55 +0800] "GET /shopConsole/static/js/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:55 +0800] "GET /shopConsole/static/js/myjs/menusf.js HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:55 +0800] "GET /shopConsole/static/avatars/avatar.png HTTP/1.1" 200 3991
127.0.0.1 - - [02/May/2016:10:09:55 +0800] "GET /shopConsole/static/avatars/avatar3.png HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:55 +0800] "GET /shopConsole/static/avatars/avatar4.png HTTP/1.1" 200 3802
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:55 +0800] "GET /shopConsole/static/js/myjs/index.js HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:55 +0800] "GET /shopConsole/plugins/websocketInstantMsg/ext4/resources/css/ext-all.css HTTP/1.1" 200 239364
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:55 +0800] "GET /shopConsole/static/avatars/user.jpg HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:56 +0800] "GET /shopConsole/plugins/websocketInstantMsg/ext4/ext-all-debug.js HTTP/1.1" 200 2945261
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:56 +0800] "GET /shopConsole/tab.do HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:56 +0800] "GET /shopConsole/static/font/fontawesome-webfont.eot? HTTP/1.1" 200 72449
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:57 +0800] "POST /shopConsole/head/getUname.do?tm=1462154997214 HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:57 +0800] "GET /shopConsole/static/js/jquery-1.7.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:57 +0800] "GET /shopConsole/plugins/tab/css/import_basic.css HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:57 +0800] "GET /shopConsole/plugins/tab/js/tab.js HTTP/1.1" 200 3302
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:57 +0800] "GET /shopConsole/plugins/tab/js/framework.js HTTP/1.1" 200 47608
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:57 +0800] "GET /shopConsole/plugins/tab/css/framework/reset.css HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:57 +0800] "GET /shopConsole/plugins/tab/css/framework/icon.css HTTP/1.1" 200 45579
127.0.0.1 - - [02/May/2016:10:09:57 +0800] "GET /shopConsole/plugins/tab/css/framework/code.css HTTP/1.1" 200 1604
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:57 +0800] "GET /shopConsole/plugins/tab/css/framework/position.css HTTP/1.1" 200 6031
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:57 +0800] "GET /shopConsole/plugins/tab/css/framework/basic.css HTTP/1.1" 200 5337
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:57 +0800] "GET /shopConsole/plugins/tab/css/framework/form.css HTTP/1.1" 200 34370
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:57 +0800] "GET /shopConsole/plugins/tab/skins/sky/import_skin.css HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:57 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [02/May/2016:10:09:57 +0800] "GET /shopConsole/static/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/May/2016:10:09:57 +0800] "GET /shopConsole/static/css/bootstrap-responsive.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/May/2016:10:09:57 +0800] "GET /shopConsole/static/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [02/May/2016:10:09:57 +0800] "GET /shopConsole/static/css/chosen.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:57 +0800] "GET /shopConsole/plugins/tab/skins/sky/style.css HTTP/1.1" 200 77479
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:57 +0800] "GET /shopConsole/static/css/ace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/static/css/ace-responsive.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/login_default.do HTTP/1.1" 200 33748
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/static/css/ace-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/static/js/jquery-1.7.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/static/css/datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/plugins/attention/zDialog/zDialog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/plugins/attention/zDialog/zDrag.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/plugins/tab/skins/sky/tab/tab2.gif HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/plugins/tab/skins/sky/tab/close.gif HTTP/1.1" 200 135
127.0.0.1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/plugins/tab/skins/sky/tab/tab1.gif HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/plugins/tab/skins/sky/tab/tab3.gif HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/static/js/jquery.tips.js HTTP/1.1" 304 -
127.0.0.1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/static/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/static/js/jquery.ui.touch-punch.min.js HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/static/js/jquery.slimscroll.min.js HTTP/1.1" 200 4383
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/static/1.9.1/jquery.min.js HTTP/1.1" 200 92697
127.0.0.1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/static/js/jquery-ui-1.10.2.custom.min.js HTTP/1.1" 200 95011
127.0.0.1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/static/js/ace-elements.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/static/js/ace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/static/js/jquery.easy-pie-chart.min.js HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/static/js/jquery.sparkline.min.js HTTP/1.1" 200 44609
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/static/js/jquery.flot.min.js HTTP/1.1" 200 36582
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/static/js/jquery.flot.pie.min.js HTTP/1.1" 200 11329
0:0:0:0:0:0:0:1 - - [02/May/2016:10:09:58 +0800] "GET /shopConsole/static/js/jquery.flot.resize.min.js HTTP/1.1" 200 2280
