127.0.0.1 - - [22/Mar/2016:20:36:23 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Mar/2016:20:36:32 +0800] "GET /shop/ HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [22/Mar/2016:20:36:33 +0800] "GET /shop/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:20:36:33 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Mar/2016:20:36:33 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Mar/2016:20:36:34 +0800] "GET /shop/homemainCtrl/login.do HTTP/1.1" 200 3527
0:0:0:0:0:0:0:1 - - [22/Mar/2016:20:36:34 +0800] "GET /shop/homemainCtrl/login.do HTTP/1.1" 200 3527
0:0:0:0:0:0:0:1 - - [22/Mar/2016:20:36:34 +0800] "GET /shop/homemainCtrl/login.do HTTP/1.1" 200 3527
0:0:0:0:0:0:0:1 - - [22/Mar/2016:20:36:34 +0800] "GET /shop/static/css/login/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:20:36:34 +0800] "GET /shop/homePageCtrl/toHeader.do HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [22/Mar/2016:20:36:34 +0800] "GET /shop/homePageCtrl/toFooter.do HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [22/Mar/2016:20:36:35 +0800] "GET /shop/static/images/login/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:20:36:35 +0800] "GET /shop/static/images/login/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:20:36:36 +0800] "GET /shop/homePageCtrl/toHomePage.do HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [22/Mar/2016:20:36:36 +0800] "GET /shop/homePageCtrl/toHeader.do HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [22/Mar/2016:20:36:36 +0800] "GET /shop/homePageCtrl/toFooter.do HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [22/Mar/2016:20:36:36 +0800] "GET /shop/homePageCtrl/toHomePage.do HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [22/Mar/2016:20:36:36 +0800] "GET /shop/homePageCtrl/toHomePage.do HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [22/Mar/2016:22:21:21 +0800] "GET /shop HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:22:21:21 +0800] "GET /shop/ HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [22/Mar/2016:22:21:22 +0800] "GET /shop/homemainCtrl/login.do HTTP/1.1" 200 3527
0:0:0:0:0:0:0:1 - - [22/Mar/2016:22:21:22 +0800] "GET /shop/homePageCtrl/toFooter.do HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [22/Mar/2016:22:21:22 +0800] "GET /shop/homePageCtrl/toHeader.do HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [22/Mar/2016:22:21:52 +0800] "POST /shop/userCtrl/login.do HTTP/1.1" 200 3527
0:0:0:0:0:0:0:1 - - [22/Mar/2016:22:21:52 +0800] "GET /shop/homePageCtrl/toHeader.do HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [22/Mar/2016:22:21:52 +0800] "GET /shop/homePageCtrl/toFooter.do HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [22/Mar/2016:22:21:52 +0800] "GET /shop/userCtrl/login.do HTTP/1.1" 200 3558
0:0:0:0:0:0:0:1 - - [22/Mar/2016:22:21:52 +0800] "GET /shop/userCtrl/login.do HTTP/1.1" 200 3558
0:0:0:0:0:0:0:1 - - [22/Mar/2016:22:36:14 +0800] "POST /shop/userCtrl/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:22:36:14 +0800] "GET /shop/homemainCtrl/toMain.do HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [22/Mar/2016:22:36:14 +0800] "GET /shop/homeMain/toTop.do HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:22:36:14 +0800] "GET /shop/homeMain/toLeft.do HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [22/Mar/2016:22:36:14 +0800] "GET /shop/homePage/showHome.do HTTP/1.1" 404 -
