127.0.0.1 - - [24/Mar/2016:18:23:16 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:36 +0800] "GET /teacherCenter/ HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:37 +0800] "GET /teacherCenter/homePage/toIndex.do HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:37 +0800] "GET /teacherCenter/static/css/styles.css HTTP/1.1" 200 5418
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:37 +0800] "GET /teacherCenter/static/css/base.css HTTP/1.1" 200 132296
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:37 +0800] "GET /teacherCenter/static/css/jquery-ui-themes.css HTTP/1.1" 200 28572
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:37 +0800] "GET /teacherCenter/static/js/easyui/jquery-1.7.2.min.js HTTP/1.1" 200 94840
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:38 +0800] "GET /teacherCenter/static/js/easyui/jquery.easyui.min.js HTTP/1.1" 200 281504
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:38 +0800] "GET /teacherCenter/static/js/easyui/themes/icon.css HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:38 +0800] "GET /teacherCenter/static/js/easyui/themes/default/easyui.css HTTP/1.1" 200 32677
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:38 +0800] "GET /teacherCenter/static/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2624
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:38 +0800] "GET /teacherCenter/static/css/login/main.css HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:38 +0800] "GET /teacherCenter/static/images/login/beijing.jpg HTTP/1.1" 200 78179
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:38 +0800] "GET /teacherCenter/static/js/login/login.js HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:38 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:38 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:49 +0800] "POST /teacherCenter/homePage/toLogin.do HTTP/1.1" 200 2997
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:49 +0800] "GET /teacherCenter/static/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:49 +0800] "GET /teacherCenter/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:49 +0800] "GET /teacherCenter/static/css/jquery-ui-themes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:49 +0800] "GET /teacherCenter/static/js/easyui/jquery-1.7.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:49 +0800] "GET /teacherCenter/static/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:49 +0800] "GET /teacherCenter/static/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:49 +0800] "GET /teacherCenter/static/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:49 +0800] "GET /teacherCenter/static/js/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:49 +0800] "GET /teacherCenter/static/css/login/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:49 +0800] "GET /teacherCenter/static/images/login/beijing.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:49 +0800] "GET /teacherCenter/static/js/login/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:49 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:49 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:58 +0800] "POST /teacherCenter/homePage/toLogin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:59 +0800] "GET /teacherCenter/homeMain/toMain.do HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:59 +0800] "GET /teacherCenter/homeMain/toTop.do HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:59 +0800] "GET /teacherCenter/homeMain/toLeft.do HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:59 +0800] "GET /teacherCenter/static/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:59 +0800] "GET /teacherCenter/static/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:59 +0800] "GET /teacherCenter/static/css/jquery-ui-themes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:59 +0800] "GET /teacherCenter/static/js/easyui/jquery-1.7.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:59 +0800] "GET /teacherCenter/static/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:59 +0800] "GET /teacherCenter/static/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:59 +0800] "GET /teacherCenter/static/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:59 +0800] "GET /teacherCenter/static/js/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:59 +0800] "GET /teacherCenter/static/css/homemain/top.css HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:59 +0800] "GET /teacherCenter/static/images/homemain/logo.jpg HTTP/1.1" 200 5968
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:59 +0800] "GET /teacherCenter/static/images/homemain/user_icon.png HTTP/1.1" 200 3433
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:59 +0800] "GET /teacherCenter/static/images/homemain/tuichu.png HTTP/1.1" 200 2056
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:23:59 +0800] "GET /teacherCenter/static/css/homemain/left_panel.css HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:00 +0800] "GET /teacherCenter/homePage/showHome.do HTTP/1.1" 200 10125
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:00 +0800] "GET /teacherCenter/static/css/homemain/wdxy_sy.css HTTP/1.1" 200 3630
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:00 +0800] "GET /teacherCenter/static/js/m.js HTTP/1.1" 200 5546
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:00 +0800] "GET /teacherCenter/static/js/jquery-1.11.3.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:00 +0800] "GET /teacherCenter/static/js/jqPaginator.js HTTP/1.1" 200 9637
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:00 +0800] "GET /teacherCenter/static/js/highcharts.js HTTP/1.1" 200 166611
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:01 +0800] "GET /teacherCenter/static/images/homemain/white_bg.png HTTP/1.1" 200 18029
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:01 +0800] "GET /teacherCenter/homePage/showClassInfo.do HTTP/1.1" 200 2564
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:01 +0800] "GET /teacherCenter/homePage/fullNotice.do?pageIndex=1&pageSize=5&_=1458815041044 HTTP/1.1" 200 1043
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:01 +0800] "GET /teacherCenter/homePage/showAchivementInfo.do HTTP/1.1" 200 6814
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:01 +0800] "GET /teacherCenter/static/js/highcharts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:01 +0800] "GET /teacherCenter/static/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:02 +0800] "POST /teacherCenter/homePage/getMajorCount.do HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:02 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:02 +0800] "POST /teacherCenter/homePage/getAchivementInfo.do HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:03 +0800] "GET /teacherCenter/static/images/homemain/nav_bg.png HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:05 +0800] "GET /teacherCenter/homePage/showHome.do HTTP/1.1" 200 10125
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:05 +0800] "GET /teacherCenter/static/js/m.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:05 +0800] "GET /teacherCenter/static/css/homemain/wdxy_sy.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:05 +0800] "GET /teacherCenter/static/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:05 +0800] "GET /teacherCenter/static/js/jqPaginator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:18:24:05 +0800] "GET /teacherCenter/static/js/highcharts.js HTTP/1.1" 304 -
